,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,popularity,speechiness,tempo,valence,music_genre
591,0.361,0.7909999999999999,0.7979999999999999,0.471,0.113,-9.61,0,40.0,0.2319999999999999,107.971,0.236,Electronic
2907,0.221,0.551,0.772,0.0152,0.124,-8.277999999999999,1,38.0,0.0865,99.465,0.222,Electronic
2726,0.0104,0.306,0.914,0.217,0.316,-7.082999999999999,1,39.0,0.122,133.31799999999998,0.34,Electronic
1717,0.0403,0.606,0.952,0.000252,0.665,-2.004,0,53.0,0.217,74.98,0.351,Electronic
2627,0.00628,0.6659999999999999,0.937,0.436,0.12,-2.479,1,39.0,0.0745,129.91299999999998,0.155,Electronic
1058,0.00336,0.73,0.753,0.211,0.05,-4.862,1,40.0,0.05,99.206,0.316,Electronic
200,0.958,0.525,0.366,0.7509999999999999,0.1369999999999999,-16.488,0,56.0,0.0718,179.956,0.0785,Electronic
1130,0.263,0.642,0.83,0.0032,0.0839,-5.903,0,46.0,0.0336,135.982,0.551,Electronic
2537,0.297,0.745,0.915,0.0,0.0732,-3.962,0,42.0,0.051,119.929,0.66,Electronic
2392,1.7199999999999998e-05,0.575,0.927,0.6779999999999999,0.0819,-5.885,1,43.0,0.0393,138.009,0.615,Electronic
4958,0.0421,0.581,0.959,0.93,0.242,-3.955,1,52.0,0.0498,124.969,0.731,Electronic
3422,0.000377,0.482,0.961,0.0167,0.423,-5.099,1,38.0,0.069,139.955,0.0712,Electronic
3215,0.0251,0.504,0.8959999999999999,0.6559999999999999,0.105,-6.14,1,32.0,0.0378,92.994,0.265,Electronic
2071,0.879,0.5479999999999999,0.469,0.959,0.118,-15.928,1,35.0,0.0345,125.012,0.784,Electronic
1681,0.2739999999999999,0.812,0.411,0.155,0.148,-12.834,1,42.0,0.242,101.01299999999999,0.3979999999999999,Electronic
1788,0.00531,0.531,0.964,0.0273,0.0832,-1.971,1,28.0,0.5329999999999999,150.237,0.198,Electronic
