acousticness,danceability,instrumentalness,liveness,mode,popularity,speechiness,tempo,valence,music_genre
0.361,0.791,0.471,0.113,0,40,0.232,107.971,0.236,Electronic
0.221,0.551,0.0152,0.124,1,38,0.0865,99.465,0.222,Electronic
0.0104,0.306,0.217,0.316,1,39,0.122,133.318,0.34,Electronic
0.0403,0.606,0.000252,0.665,0,53,0.217,74.98,0.351,Electronic
0.00628,0.666,0.436,0.12,1,39,0.0745,129.913,0.155,Electronic
0.00336,0.73,0.211,0.05,1,40,0.05,99.206,0.316,Electronic
0.958,0.525,0.751,0.137,0,56,0.0718,179.956,0.0785,Electronic
0.263,0.642,0.0032,0.0839,0,46,0.0336,135.982,0.551,Electronic
0.297,0.745,0,0.0732,0,42,0.051,119.929,0.66,Electronic
1.72e-05,0.575,0.678,0.0819,1,43,0.0393,138.009,0.615,Electronic
0.0421,0.581,0.93,0.242,1,52,0.0498,124.969,0.731,Electronic
0.000377,0.482,0.0167,0.423,1,38,0.069,139.955,0.0712,Electronic
0.0251,0.504,0.656,0.105,1,32,0.0378,92.994,0.265,Electronic
0.879,0.548,0.959,0.118,1,35,0.0345,125.012,0.784,Electronic
0.274,0.812,0.155,0.148,1,42,0.242,101.013,0.398,Electronic
0.00531,0.531,0.0273,0.0832,1,28,0.533,150.237,0.198,Electronic
0.00729,0.44,0.0094,0.0949,0,47,0.0836,169.765,0.739,Electronic
0.0003819999999999,0.596,0.769,0.262,0,41,0.0943,149.976,0.406,Electronic
3.9e-05,0.568,0.0034799999999999,0.33,0,29,0.0304,122.987,0.211,Electronic
0.393,0.544,0.000814,0.345,1,28,0.135,147.001,0.505,Electronic
0.0216,0.566,0.906,0.283,1,36,0.0599,124.954,0.271,Electronic
0.0234,0.471,0.00897,0.11,1,54,0.0316,87.959,0.129,Electronic
3.04e-05,0.428,0.822,0.322,1,54,0.0477,173.998,0.3,Electronic
0.723,0.865,0.144,0.0877,1,51,0.16,96.023,0.689,Electronic
7.17e-05,0.603,0.11,0.222,0,51,0.0299,127.868,0.401,Electronic
0.274,0.7,0.0353,0.246,0,34,0.0511,113.032,0.0654,Electronic
1.87e-05,0.534,0.922,0.359,0,0,0.046,130.034,0.0295,Electronic
0.00247,0.707,0.22,0.249,0,28,0.0667,118.421,0.889,Electronic
0.00118,0.848,0.52,0.782,1,30,0.145,140.023,0.556,Electronic
0.0018,0.802,0.0126,0.148,0,29,0.217,127.967,0.553,Electronic
0.00998,0.854,0.67,0.0761,1,29,0.0545,83.943,0.509,Electronic
0.00252,0.694,0.12,0.13,1,52,0.0868,150.033,0.389,Electronic
0.137,0.494,0.667,0.131,0,38,0.0343,95.031,0.292,Electronic
0.00516,0.745,0.777,0.0439,1,39,0.0558,115.991,0.871,Electronic
0.0003779999999999,0.788,0.087,0.0754,0,33,0.0417,109.981,0.259,Electronic
0.0685,0.499,1.89e-05,0.138,0,58,0.0539,99.943,0.25,Electronic
0.000833,0.57,0.623,0.27,0,39,0.046,145.092,0.31,Electronic
0.0099099999999999,0.518,0.749,0.0549,0,29,0.0421,90.013,0.0556,Electronic
0.00654,0.889,0.000478,0.079,0,38,0.0423,90.535,0.459,Electronic
0.00223,0.432,0.112,0.349,1,32,0.0465,143.937,0.0383,Electronic
0.0047,0.391,0.0239,0.339,0,36,0.079,153.397,0.322,Electronic
0.375,0.662,0.203,0.0564,1,36,0.0246,84.994,0.538,Electronic
0.0212,0.54,9.66e-05,0.106,1,45,0.299,167.871,0.34,Electronic
0.00364,0.832,0.783,0.534,0,35,0.209,125.011,0.19,Electronic
0.0314,0.579,0.016,0.111,0,40,0.268,112.558,0.0933,Electronic
0.0123,0.909,0.635,0.0885,0,30,0.163,129.052,0.568,Electronic
0.000901,0.769,0,0.385,0,31,0.111,136.021,0.295,Electronic
0.0195,0.868,1.59e-05,0.098,1,26,0.0962,123.999,0.406,Electronic
0.00981,0.627,0.847,0.123,0,31,0.0267,105.042,0.0536,Electronic
0.054,0.704,0.0727,0.127,0,51,0.12,104.019,0.248,Electronic
0.0004559999999999,0.692,0.698,0.286,1,30,0.115,150.096,0.487,Electronic
0.0116,0.458,0.0506,0.076,0,37,0.21,112.034,0.037,Electronic
0.00243,0.601,0.0791,0.0559,0,32,0.0246,94.984,0.47,Electronic
0.136,0.64,0.542,0.112,0,36,0.0433,88.002,0.0392,Electronic
0.00409,0.559,0,0.12,1,31,0.083,140.097,0.159,Electronic
0.0457,0.612,0.859,0.674,1,23,0.0252,96.91,0.0365,Electronic
0.835,0.584,0.98,0.3,0,39,0.108,77.346,0.713,Electronic
0.0114,0.671,0.687,0.203,1,41,0.0454,120.016,0.416,Electronic
0.0613,0.52,0.352,0.331,0,21,0.0331,112.013,0.125,Electronic
0.00291,0.692,0.0303,0.0428,0,36,0.0385,130.003,0.626,Electronic
0.0106,0.703,2.58e-05,0.0992,0,50,0.155,129.937,0.347,Electronic
0.0913,0.69,0.271,0.133,1,43,0.0389,119.49,0.657,Electronic
0.23,0.693,0.834,0.0685,1,53,0.0464,117.006,0.237,Electronic
0.00526,0.882,0.539,0.923,1,33,0.124,125.004,0.105,Electronic
0.0141,0.473,0.0458,0.0761,1,51,0.365,150.125,0.118,Electronic
0.0435,0.46,3.11e-06,0.177,0,33,0.062,159.985,0.264,Electronic
0.00196,0.898,0.704,0.0915,1,42,0.153,124.997,0.286,Electronic
0.0748,0.718,0.957,0.112,1,34,0.0663,117.731,0.853,Electronic
0.319,0.826,0.903,0.134,1,39,0.0608,120.039,0.342,Electronic
0.217,0.555,0.804,0.106,1,31,0.0473,119.835,0.199,Electronic
0.000944,0.43,0.0546,0.214,1,25,0.464,149.917,0.251,Electronic
0.39,0.698,0.533,0.0784,0,30,0.0377,117.974,0.725,Electronic
0.0178,0.53,0.0353,0.263,0,34,0.183,150.013,0.303,Electronic
0.111,0.714,8.55e-05,0.325,1,49,0.0569,122.915,0.872,Electronic
0.0395,0.853,6.88e-06,0.0313,0,49,0.0828,124.542,0.659,Electronic
0.0868,0.791,0.758,0.179,1,39,0.0461,125.008,0.363,Electronic
0.000109,0.134,0.403,0.375,0,27,0.0966,163.904,0.3,Electronic
0.214,0.605,0.882,0.0912,1,27,0.063,172.007,0.178,Electronic
0.0208,0.645,2.92e-06,0.437,0,42,0.454,124.898,0.382,Electronic
